Feature1,Feature2,Feature3,ComLevel
1266.95,1267.9,1260,1264.15
1267,1272.4,1255.55,1263.3
1265,1284,1259.95,1280.6
1285,1301,1280.9,1299.2
1300,1304,1290.25,1294.85
1295,1304.3,1294.3,1300.25
1301,1307.4,1273.15,1276.6
1279.9,1282.1,1255.3,1258.4
1290,1322.5,1290,1306.35
1319,1348.45,1307.35,1334.5
1390,1400,1327,1337.45
1336.9,1355,1309,1347.75
1349.7,1371.8,1343,1362
1362.5,1366.05,1338.05,1351
1352.5,1354.9,1327.1,1330
1326,1331.7,1308.1,1317.5
1315.75,1323.75,1298.4,1311.95
1305,1336.9,1305,1328.55
1323.75,1345,1323.75,1340.5
1340.3,1349.95,1337.95,1345.05
1341.2,1356.55,1340.3,1344.95
1341,1349.85,1335.8,1346.15
1348.85,1352.45,1326.4,1344.15
1344,1352,1342.15,1348.1
1349,1367.8,1345.15,1356.35
1345.1,1365,1345.1,1360.05
1362.5,1375.9,1362,1370.55
1361,1390,1361,1387.15
1386,1437,1385.1,1422.6
1424,1428.9,1412.25,1414.7
1409.05,1415,1401.85,1410.05
1409.8,1441.65,1405.1,1435.4
1430.1,1455.8,1429,1447.7
1444,1451.8,1430.65,1442.15
1440.1,1441.9,1420,1425.35
1421.6,1448.9,1412.7,1443.55
1441.5,1457,1441.5,1452.8
1440.7,1456.85,1440.7,1451.05
1450,1464.05,1442.3,1455.1
1453,1475,1451.5,1473.7
1467,1499.95,1466,1496.4
1495.25,1503.05,1477.3,1483.2
1486.25,1525,1485.25,1517
1515.1,1516,1498,1501.85
1491,1519.9,1491,1513.2
1517,1543,1508.6,1540.15
1536.15,1565.5,1536.15,1561.2
1561,1597.6,1559.35,1589.9
1590,1595.65,1574.9,1583.15
1575,1589.55,1556.65,1566.2
1558,1567.95,1548,1560.5
1556.05,1558.7,1548,1551.7
1557,1577,1543.8,1567.7
1572,1580.4,1560.6,1570.25
1559.85,1573.65,1554.4,1566.95
1564.5,1564.5,1540.45,1546.75
1540,1572.65,1539.95,1557.65
1563,1574.4,1553.7,1559.95
1561.4,1562.1,1532,1542.15
1548.5,1552,1528.4,1543.35
1540.1,1570,1536.15,1556.35
1556,1583.4,1541.65,1575.75
1565,1573.7,1551.25,1556.85
1556,1571.2,1541.25,1567.35
1570,1575,1531,1543.4
1540.1,1540.1,1501,1507.8
1505,1509.35,1484.1,1498.35
1498.9,1498.9,1475,1480.75
1480,1513,1477.6,1497.4
1509.9,1538.9,1501,1530.45
1540,1550.1,1520.7,1536.9
1481.9,1524.5,1478.35,1511.75
1513.5,1514,1448.35,1472.45
1470,1493.45,1457.95,1483.15
1495,1499,1431,1456.65
1487.95,1494.9,1427.45,1452.75
1446,1459.8,1425,1425.3
1424.45,1448,1424,1430.55
1430.55,1430.55,1398.65,1402.3
1393,1393.45,1365.1,1369.35
1365,1384.7,1365,1370.75
1368,1382,1365,1378.4
1373.5,1438.8,1373.5,1433.9
1426,1447.25,1407.9,1418.5
1420,1472.4,1420,1467.2
1467.1,1478.85,1457.4,1471.6
1472,1487.8,1470,1480.1
1483.2,1503.45,1483,1498.45
1498.45,1510.9,1491.1,1495.9
1495,1495,1486.1,1489.65
1480,1481,1445.7,1451.6
1455.1,1470.55,1443.75,1457.95
1458.1,1477.2,1450,1471.55
1469,1469,1447.45,1454.05
1455,1478.5,1454.1,1473.8
1471.25,1478,1461,1472.4
1465,1502,1465,1492.85
1498,1509.15,1492.3,1498.4
1495,1526.75,1478.35,1492.7
1500,1502.95,1463.6,1469.55
1469.5,1500,1460,1498
1498,1516.5,1490.3,1514.1
1516,1527.5,1485.1,1497.35
1500,1512,1487,1499.4
1491,1509.25,1476.75,1498.45
1504,1507,1457.1,1469.4
1460,1473.9,1450.15,1465.35
1461.1,1472.65,1452.7,1467.8
1453.7,1478.5,1452.05,1470.75
1470.1,1539,1468,1518.95
1525.05,1544.7,1519.1,1525.05
1530.2,1542,1492,1501.55
1494.1,1495.1,1462.05,1468.1
